id,title,description,type,rarity,wordId,unlocked
card_chamo,Chamo,Una de las palabras más icónicas del venezolano,expression,common,1,false
card_cambur,Cambur,Término venezolano para el plátano dulce,food,common,2,false
card_pana,Pana,Mi amigo del alma - compañero de vida,expression,common,3,false
card_real,Real,El dinero que tanto necesitamos,expression,rare,4,false
card_rancho,Rancho,El hogar humilde pero lleno de amor,expression,rare,5,false
card_carrito,Carrito,El transporte del pueblo venezolano,expression,common,6,false
card_chambear,Chambear,El espíritu trabajador venezolano,expression,rare,7,false
card_jama,Jama,La deliciosa comida criolla,food,common,8,false
card_birra,Birra,La cerveza que refresca el alma,food,common,9,false
card_peo,Peo,Los problemas de la vida diaria,expression,rare,10,false
card_rumba,Rumba,La fiesta que alegra el corazón,expression,epic,11,false
card_jevo,Jevo,El amor masculino venezolano,expression,rare,12,false
card_jeva,Jeva,El amor femenino venezolano,expression,rare,13,false
card_jalado,Jalado,El estado de celebración extrema,expression,epic,14,false
card_embuste,Embuste,Las mentiras que todos contamos,expression,legendary,15,false
card_cacharro,Cacharro,El carro que nos lleva a todos lados,expression,common,16,false
card_tipo,Tipo,La gente que conocemos en el camino,expression,common,17,false
card_guebon,Güebona,La mujer del pueblo venezolano,expression,rare,18,false
card_carajito,Carajito,Los niños traviesos del barrio,expression,common,19,false
card_carcaman,Carcamán,La sabiduría de los mayores,expression,rare,20,false
card_arrecho,Arrecho,La expresión de máxima emoción,expression,legendary,21,false
card_volao,Volao,La velocidad de la vida moderna,expression,rare,22,false
card_guevon,Güevón,La burla cariñosa entre amigos,expression,common,23,false
card_chevere,Chévere,La alegría pura venezolana,expression,common,24,false
card_ladilla,Ladilla,Las molestias del día a día,expression,common,25,false
card_burda,Burda,El intensificador por excelencia,expression,rare,26,false
card_chiquito,Chiquito,Todo lo pequeño y tierno,expression,common,27,false
card_ladilloso,Ladilloso,El fastidio constante,expression,rare,28,false
card_chueco,Chueco,Lo que sale mal en la vida,expression,common,29,false
card_melcocha,Melcocha,El dulce tradicional criollo,food,common,30,false
card_fresquito,Fresquito,La bebida que calma la sed,food,common,31,false
card_canilla,Canilla,El pan de cada día,food,common,32,false
card_marron,Marrón,El café con leche matutino,food,common,33,false
card_palta,Palta,El aguacate nutritivo,food,rare,34,false
card_pepito,Pepito,El sandwich más sabroso,food,common,35,false
card_friofrio,Frío Frío,Los helados del verano,food,common,36,false
card_guarapo,Guarapo,La bebida dulce de caña,food,rare,37,false
card_bistec,Bistec,La carne jugosa a la plancha,food,common,38,false
card_pollito,Pollito,El pollo tierno y sabroso,food,common,39,false
card_mojarra,Mojarra,El pescado fresco del mar,food,rare,40,false
card_cotiza,Cotiza,Los zapatos de todos los días,expression,common,41,false
