id,standardWord,venezuelanWord,definition,pronunciation,examples,culturalContext,category,difficulty,cardId
1,joven,chamo,joven/amigo,CHAH-moh,"Oye chamo ven acá|Ese chamo es muy amable|Los chamos están jugando",Una de las palabras más icónicas del venezolano. Se usa para referirse a cualquier joven o amigo,expression,1,card_chamo
2,banana,cambur,plátano,kam-BOOR,"Me gusta comer cambur|Compré unos cambures en el mercado|El cambur está maduro",Término venezolano para referirse al plátano. Viene de lenguas indígenas precolombinas,food,1,card_cambur
3,amigo,pana,amigo íntimo,PAH-nah,"Ese es mi pana|Vamos pana|Mi pana me ayudó",Palabra muy usada en Venezuela para referirse a un amigo cercano o compañero,expression,1,card_pana
4,dinero,real,dinero,reh-AHL,"No tengo reales|Dame unos reales|Gastó todos sus reales",Forma coloquial de referirse al dinero en Venezuela. Proviene de la antigua moneda española,expression,2,card_real
5,casa,rancho,casa humilde,RAHN-choh,"Voy para mi rancho|El rancho está bonito|Limpiando el rancho",En Venezuela se refiere a la casa propia especialmente si es modesta,expression,2,card_rancho
6,autobús,carrito,transporte público,kah-RREE-toh,"Espero el carrito|Se dañó el carrito|El carrito va lleno",Término usado para los pequeños autobuses urbanos en Venezuela,expression,2,card_carrito
7,trabajar,chambear,trabajar,cham-beh-AHR,"Voy a chambear|Chambeando duro|No quiere chambear",Verbo muy común para referirse al trabajo en Venezuela,expression,2,card_chambear
8,comida,jama,comida,HAH-mah,"¿Qué hay de jama?|Buena jama|Preparando la jama",Forma coloquial de referirse a la comida en Venezuela,food,2,card_jama
9,cerveza,birra,cerveza,BEE-rrah,"Una birra fría|Tomando birra|¿Quieres birra?",Manera informal de pedir una cerveza en Venezuela,food,2,card_birra
10,problema,peo,problema/lío,PEH-oh,"Tengo un peo|Sin peos|Qué peo tienes",Palabra muy usada para referirse a problemas o situaciones complicadas,expression,3,card_peo
11,fiesta,rumba,fiesta/celebración,ROOM-bah,"Vamos a la rumba|Buena rumba|La rumba estuvo genial",Término popular para referirse a fiestas y celebraciones en Venezuela,expression,3,card_rumba
12,novio,jevo,novio,HEH-voh,"Mi jevo es genial|Saliendo con mi jevo|¿Tienes jevo?",Forma como las mujeres venezolanas se refieren a su novio,expression,3,card_jevo
13,novia,jeva,novia,HEH-vah,"Mi jeva es bella|Con mi jeva|¿Dónde está tu jeva?",Forma como los hombres venezolanos se refieren a su novia,expression,3,card_jeva
14,borracho,jalado,ebrio,hah-LAH-doh,"Está jalado|Se puso jalado|Muy jalado anoche",Estado de embriaguez en el argot venezolano,expression,3,card_jalado
15,mentira,embuste,falsedad,em-BOOS-teh,"Eso es embuste|No digas embustes|Puro embuste",Manera venezolana de referirse a mentiras o engaños,expression,4,card_embuste
16,carro,cacharro,automóvil viejo,kah-CHAH-roh,"Mi cacharro no arranca|Ese cacharro está dañado|Vendí el cacharro",Forma despectiva de referirse a un carro viejo o en mal estado,expression,2,card_cacharro
17,persona,tipo,individuo,TEE-poh,"Ese tipo es raro|No conozco a ese tipo|Qué tipo tan extraño",Forma neutral de referirse a una persona,expression,1,card_tipo
18,mujer,guebon,mujer,gweh-BONE,"Esa güebona es linda|La güebona llegó tarde|¿Viste a la güebona?",Forma coloquial de referirse a una mujer en algunos contextos,expression,3,card_guebon
19,niño,carajito,niño pequeño,kah-rah-HEE-toh,"El carajito está jugando|Ese carajito es travieso|Los carajitos del barrio",Diminutivo cariñoso para referirse a niños pequeños,expression,2,card_carajito
20,viejo,carcamán,persona mayor,kar-kah-MAHN,"Ese carcamán sabe mucho|El carcamán del barrio|Los carcamanes tienen experiencia",Forma de referirse respetuosamente a personas mayores,expression,3,card_carcaman
21,loco,arrecho,genial/molesto,ah-RREH-choh,"Está arrecho|Qué cosa tan arrecha|Me tiene arrecho",Palabra con múltiples significados: puede ser genial o estar molesto,expression,4,card_arrecho
